sample_length_mm,scanning_time_sec,stitching_time_sec
148.5,559.93,94.33
139.5,451.76,79.26
103.5,408.4,68.07
150.0,531.29,180.24
100.8,336.11,30.49
135.0,411.42,54.95
436.8,887.21,94.22
214.2,640.2,50.02
2211.3,2174.16,720.34
379.8,780.06,197.15
441.0,818.93,114.81
2119.5,1945.92,463.94
166.5,624.86,61.14
237.0,892.2,100.37
1755.0,1862.44,671.79
1919.7,1914.24,665.76
247.8,621.18,70.34
233.1,526.99,61.31
249.0,754.6,84.98
243.0,784.28,84.32
1161.0,1385.57,421.5
926.1,1206.93,323.68
794.4,1282.31,362.27
354.9,773.48,107.79
571.2,1007.91,143.85
2162.7,1976.9,592.39
952.8,1369.43,223.46
784.8,1116.06,242.63
317.1,625.6,115.71
298.2,695.74,85.22
112.5,507.57,34.33
108.0,348.5,35.78
132.0,482.01,44.71
130.5,459.99,43.89
232.5,678.56,95.83
216.0,662.37,76.8
859.2,1067.58,187.28
902.4,1169.5,172.5
2227.5,2253.25,470.78
2022.3,2024.81,436.88
208.5,666.35,104.99
214.5,746.73,92.57
541.8,1073.05,153.32
560.7,1086.34,148.78
298.8,651.24,107.11
480.9,906.52,141.45
1984.5,1873.64,550.04
1498.5,1476.08,383.14
955.2,1291.13,217.14
940.8,1235.74,257.68
243.0,793.98,150.81
240.0,770.06,134.76
2254.5,2519.01,735.65
2165.4,2737.38,680.68
340.2,752.14,156.6
273.0,606.62,104.33
165.6,503.06,45.45
160.5,591.83,43.89
127.5,484.7,42.37
196.5,535.53,59.51
204.0,621.12,73.24
156.0,502.33,44.44
150.0,558.88,50.62
133.5,514.32,42.8
133.5,532.76,39.9
102.0,449.55,33.04
109.5,392.82,33.01
142.5,483.5,54.86
151.5,482.92,50.89
239.4,764.63,89.45
212.4,558.78,118.03
133.5,512.9,40.74
115.5,417.24,40.13
46.5,245.15,15.8
48.0,286.91,16.79
126.0,532.05,42.43
124.5,418.64,40.51
150.0,503.8,67.84
139.5,543.48,50.39
139.5,464.38,44.7
148.5,596.76,44.37
132.0,464.92,39.55
136.5,471.79,40.49
138.0,424.66,45.08
115.5,429.88,40.12
174.6,472.79,43.6
264.6,571.99,62.61
118.5,395.13,44.67
108.0,384.77,37.14
11100.0,499.28,37.07
149.4,394.24,41.19
156.0,661.72,46.23
154.5,647.73,56.06
162.0,505.86,47.2
160.5,369.69,52.38
189.0,656.06,44.08
13800.0,485.91,46.42
382.2,575.65,95.12
344.4,668.47,104.86
66.6,307.02,17.55
52.2,275.02,12.59
1379.7,1732.9,309.28
371.7,882.31,129.26
130.5,504.11,39.13
123.0,426.27,36.18
294.0,636.59,102.18
216.3,542.14,86.63
774.9,1121.05,190.13
912.6,1087.78,234.58
123.0,541.72,41.66
126.0,429.54,45.22
108.0,397.69,34.39
109.5,517.32,34.75
94.5,405.78,31.15
144.0,536.63,45.07
124.5,474.45,42.09
109.5,463.17,34.19
449.4,710.85,134.33
218.4,539.36,63.46
133.5,473.28,47.41
258.3,484.56,53.2
1871.1,1826.79,341.05
1317.6,1485.95,246.61
81.0,358.79,24.57
94.5,372.41,34.39
192.0,646.73,65.42
129.0,481.52,40.02
250.2,686.91,73.66
169.5,546.81,73.68
159.0,534.8,48.83
638.4,1114.84,116.07
664.8,980.39,122.18
91.5,462.82,33.58
85.5,343.27,31.27
82.5,350.31,31.8
105.0,497.9,39.05
112.5,409.43,37.72
141.0,554.09,44.36
340.2,759.22,102.23
302.4,656.97,94.38
112.5,428.95,37.55
114.0,520.26,38.22
208.5,665.6,72.26
262.8,506.21,66.04
407.4,755.87,96.15
386.4,754.72,110.46
142.5,436.2,44.32
156.0,511.59,50.59
220.5,739.32,166.85
216.0,790.39,129.08
145.5,469.56,45.94
129.0,544.47,44.12
153.0,515.16,53.38
147.0,461.79,53.86
560.7,1003.74,171.45
539.7,1378.8,147.41
162.0,476.36,81.55
